current_path,file_type,current_role,entry_point,imported_by,reads,writes,test_coverage,stability,proposed_action,proposed_target,migration_phase,compatibility_requirement,risk,notes
docs/plans/2026-07-07-prior-tcn-sample-efficiency-capacity.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-07-07-prior-tcn-sample-efficiency-capacity.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/plans/2026-07-07-prior-vs-tcn-comparison.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-07-07-prior-vs-tcn-comparison.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/plans/2026-07-14-wing-wrench-theta-sweep-design.md,markdown,documentation,no,,,,,stable,KEEP,docs/plans/2026-07-14-wing-wrench-theta-sweep-design.md,0D,none,LOW,retain chronological experiment record; index as historical/current
docs/results/2026-05-06-causal-sequence-baseline-comparison.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-06-causal-sequence-baseline-comparison.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-06-subnet-three-stage-comparison.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-06-subnet-three-stage-comparison.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-07-tcn-gru-focused-sweep.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-07-tcn-gru-focused-sweep.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-07-temporal-backbone-screening.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-07-temporal-backbone-screening.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-07-transformer-focused-sweep.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-07-transformer-focused-sweep.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-07-transformer-training-tricks.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-07-transformer-training-tricks.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-08-head-film-sanity-checks.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-08-head-film-sanity-checks.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-08-lateral-diagnostics-best-transformer.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-08-lateral-diagnostics-best-transformer.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-08-phase-conditioned-film-no-suspect.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-08-phase-conditioned-film-no-suspect.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-08-phase-harmonic-encoding.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-08-phase-harmonic-encoding.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-11-fyb-learnability-diagnostics.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-11-fyb-learnability-diagnostics.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-11-fyb-smoothed-target-training.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-11-fyb-smoothed-target-training.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-11-fyb-target-generation-sensitivity.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-11-fyb-target-generation-sensitivity.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-11-lateral-smoothed-target-training.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-11-lateral-smoothed-target-training.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-12-frequency-resolved-backbone-comparison.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-12-frequency-resolved-backbone-comparison.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-12-history-length-sweep.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-12-history-length-sweep.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-12-lateral-retained-energy-analysis.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-12-lateral-retained-energy-analysis.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-12-temporal-order-ablation.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-12-temporal-order-ablation.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-13-delaurier-residual-nn-gpu.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-13-delaurier-residual-nn-gpu.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-25-residual-guided-delaurier-greybox-force-arm.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-25-residual-guided-delaurier-greybox-force-arm.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-26-component-residual-attribution-diagnostic.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-26-component-residual-attribution-diagnostic.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-26-deployable-wrench-correction-v2.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-26-deployable-wrench-correction-v2.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-27-oracle-short-horizon-replay.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-27-oracle-short-horizon-replay.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-27-phase-structured-wrench-correction.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-27-phase-structured-wrench-correction.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-28-rotational-oracle-replay-diagnostics.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-28-rotational-oracle-replay-diagnostics.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-28-sg0p03-residual-analysis-and-correction.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-28-sg0p03-residual-analysis-and-correction.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-28-smoothed-time-aligned-wrench-labels.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-28-smoothed-time-aligned-wrench-labels.md,0D,none,LOW,read during Phase 0A
docs/results/2026-05-28-smoothing-sweep-phase-spectrum-replay.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-05-28-smoothing-sweep-phase-spectrum-replay.md,0D,none,LOW,read during Phase 0A
docs/results/2026-06-04-wing-tail-my-alignment-sweep.md,markdown,documentation,no,,,,,stable,MOVE,docs/experiments/results/2026-06-04-wing-tail-my-alignment-sweep.md,0D,none,LOW,read during Phase 0A
inertia.png,image,unlocated/undocumented image asset,no,,,,,stable,REVIEW,docs/experiments/history/inertia.png,0D,none,MEDIUM,provenance and consumers not confirmed; do not delete
metadata/aircraft/flapper_01/aircraft_metadata.yaml,config,aircraft metadata/configuration,no,,,,,stable,KEEP,metadata/aircraft/flapper_01/aircraft_metadata.yaml,0C3,none,HIGH,draft_in_use; schema/provenance validation required
metadata/aircraft/flapper_01/wing_geometry_isaaclab_3b5d4ec.csv,csv,aircraft metadata/configuration,no,,,,,stable,MOVE,metadata/aircraft/flapper_01/geometry/wing_geometry_isaaclab_3b5d4ec.csv,0C5,manifest/path alias,HIGH,read during Phase 0A
pyproject.toml,config,build/dependency/pytest config,no,,,,,stable,REVIEW,pyproject.toml,0C9,none,MEDIUM,no Phase 0B modification; review packaging and entry points with CLI/config migration
scripts/analyze_component_residual_attribution.py,python,analysis entry with reusable metrics/plot logic,yes,tests/test_component_residual_attribution.py,parquet,parquet;csv;JSON/text;figure,indirect/partial,mixed/experiment-specific,SPLIT,src/system_identification/evaluation/analyze_component_residual_attribution.py,0C8,preserve public helper imports until tests migrate,HIGH,read during Phase 0A; additional compatibility target: scripts/analysis/analyze_component_residual_attribution.py
scripts/analyze_delaurier_residual_conditions.py,python,analysis entry with reusable metrics/plot logic,yes,scripts/run_delaurier_force_recalibration.py;scripts/train_delaurier_greybox_force_correction.py;tests/test_analyze_delaurier_residual_conditions.py,parquet,csv;JSON/text;figure,tests/test_analyze_delaurier_residual_conditions.py,mixed/experiment-specific,SPLIT,src/system_identification/evaluation/analyze_delaurier_residual_conditions.py,0C8,preserve public helper imports until tests migrate,HIGH,read during Phase 0A; additional compatibility target: scripts/analysis/analyze_delaurier_residual_conditions.py
scripts/analyze_delaurier_residual_frequency.py,python,analysis entry with reusable metrics/plot logic,yes,scripts/analyze_nested_prior_shaping_ablation_exp1_diagnostics.py;scripts/analyze_prior_nonlinear_calibration_exp3_diagnostics.py;scripts/analyze_prior_regression_calibration_exp2_diagnostics.py;scripts/run_delaurier_force_recalibration.py;scripts/train_delaurier_greybox_force_correction.py;tests/test_analyze_delaurier_residual_frequency.py,parquet,csv;JSON/text;figure,tests/test_analyze_delaurier_residual_frequency.py,mixed/experiment-specific,SPLIT,src/system_identification/evaluation/analyze_delaurier_residual_frequency.py,0C8,preserve public helper imports until tests migrate,HIGH,read during Phase 0A; additional compatibility target: scripts/analysis/analyze_delaurier_residual_frequency.py
scripts/analyze_delaurier_residual_phase.py,python,analysis entry with reusable metrics/plot logic,yes,scripts/analyze_nested_prior_shaping_ablation_exp1_diagnostics.py;scripts/analyze_prior_nonlinear_calibration_exp3_diagnostics.py;scripts/analyze_prior_regression_calibration_exp2_diagnostics.py;scripts/run_delaurier_force_recalibration.py;scripts/train_delaurier_greybox_force_correction.py;tests/test_analyze_delaurier_residual_phase.py,parquet,csv;JSON/text;figure,tests/test_analyze_delaurier_residual_phase.py,mixed/experiment-specific,SPLIT,src/system_identification/evaluation/analyze_delaurier_residual_phase.py,0C8,preserve public helper imports until tests migrate,HIGH,read during Phase 0A; additional compatibility target: scripts/analysis/analyze_delaurier_residual_phase.py
scripts/analyze_lateral_retained_energy.py,python,analysis entry with reusable metrics/plot logic,yes,tests/test_lateral_retained_energy.py,parquet;text,csv;JSON/text;figure,indirect/partial,mixed/experiment-specific,SPLIT,src/system_identification/evaluation/analyze_lateral_retained_energy.py,0C8,preserve public helper imports until tests migrate,HIGH,read during Phase 0A; additional compatibility target: scripts/analysis/analyze_lateral_retained_energy.py
scripts/analyze_nested_prior_shaping_ablation_exp1_diagnostics.py,python,analysis entry with reusable metrics/plot logic,yes,scripts/analyze_prior_nonlinear_calibration_exp3_diagnostics.py;scripts/analyze_prior_regression_calibration_exp2_diagnostics.py,csv,csv;JSON/text,indirect/partial,mixed/experiment-specific,SPLIT,src/system_identification/evaluation/analyze_nested_prior_shaping_ablation_exp1_diagnostics.py,0C8,preserve public helper imports until tests migrate,HIGH,read during Phase 0A; additional compatibility target: scripts/analysis/analyze_nested_prior_shaping_ablation_exp1_diagnostics.py
scripts/analyze_prior_nonlinear_calibration_exp3_diagnostics.py,python,analysis entry with reusable metrics/plot logic,yes,,csv,csv,none identified,mixed/experiment-specific,SPLIT,src/system_identification/evaluation/analyze_prior_nonlinear_calibration_exp3_diagnostics.py,0C8,preserve public helper imports until tests migrate,HIGH,read during Phase 0A; additional compatibility target: scripts/analysis/analyze_prior_nonlinear_calibration_exp3_diagnostics.py
scripts/analyze_prior_regression_calibration_exp2_diagnostics.py,python,analysis entry with reusable metrics/plot logic,yes,,csv,csv,none identified,mixed/experiment-specific,SPLIT,src/system_identification/evaluation/analyze_prior_regression_calibration_exp2_diagnostics.py,0C8,preserve public helper imports until tests migrate,HIGH,read during Phase 0A; additional compatibility target: scripts/analysis/analyze_prior_regression_calibration_exp2_diagnostics.py
scripts/analyze_wing_wrench_theta_sweep.py,python,analysis entry with reusable metrics/plot logic,yes,,,,none identified,mixed/experiment-specific,WRAP,scripts/analysis/analyze_wing_wrench_theta_sweep.py,0C9,preserve old command wrapper during one release,MEDIUM,read during Phase 0A
scripts/audit_ratio8_artifact_lineage.py,python,artifact audit entry,yes,tests/test_audit_ratio8_artifact_lineage.py,text,csv;JSON/text,tests/test_audit_ratio8_artifact_lineage.py,mixed/experiment-specific,SPLIT,src/system_identification/evaluation/audit_ratio8_artifact_lineage.py,0C8,preserve public helper imports until tests migrate,HIGH,read during Phase 0A; additional compatibility target: scripts/audit/audit_ratio8_artifact_lineage.py
scripts/audit_ratio8_phase_frequency.py,python,artifact audit entry,yes,tests/test_audit_ratio8_phase_frequency.py,parquet,csv;JSON/text,tests/test_audit_ratio8_phase_frequency.py,mixed/experiment-specific,SPLIT,src/system_identification/evaluation/audit_ratio8_phase_frequency.py,0C8,preserve public helper imports until tests migrate,HIGH,read during Phase 0A; additional compatibility target: scripts/audit/audit_ratio8_phase_frequency.py
scripts/build_cycle_block_split.py,python,data build/materialization CLI with reusable logic,yes,,,,none identified,mixed/experiment-specific,WRAP,scripts/data/build_cycle_block_split.py,0C9,preserve old command wrapper during one release,MEDIUM,read during Phase 0A
scripts/build_delaurier_residual_kfold_splits.py,python,data build/materialization CLI with reusable logic,yes,tests/test_build_delaurier_residual_kfold_splits.py,parquet;csv,parquet;csv;JSON/text,tests/test_build_delaurier_residual_kfold_splits.py,mixed/experiment-specific,SPLIT,src/system_identification/labels/residual_folds.py,0C4,old script remains compatibility wrapper,HIGH,read during Phase 0A; additional compatibility target: scripts/data/build_delaurier_residual_kfold_splits.py
scripts/build_delaurier_residual_split.py,python,data build/materialization CLI with reusable logic,yes,scripts/build_delaurier_residual_kfold_splits.py;scripts/diagnose_delaurier_prior_conventions.py;scripts/diagnose_tail_model_parameters.py;scripts/run_component_prior_ablation.py;scripts/run_delaurier_force_recalibration.py;scripts/sweep_tail_geometry_alignment.py;scripts/train_fx_fz_correction.py;tests/test_build_delaurier_residual_split.py,parquet,parquet;JSON/text,tests/test_build_delaurier_residual_split.py,mixed/experiment-specific,SPLIT,src/system_identification/labels/residuals.py,0C4,old script remains compatibility wrapper,HIGH,read during Phase 0A; additional compatibility target: scripts/data/build_delaurier_residual_split.py
scripts/build_fyb_smoothed_label_split.py,python,data build/materialization CLI with reusable logic,yes,tests/test_build_fyb_smoothed_label_split.py,parquet,parquet;JSON/text;copied assets,tests/test_build_fyb_smoothed_label_split.py,mixed/experiment-specific,SPLIT,src/system_identification/labels/fyb_variant.py,0C4,old script remains compatibility wrapper,HIGH,read during Phase 0A; additional compatibility target: scripts/data/build_fyb_smoothed_label_split.py
scripts/build_lateral_smoothed_label_split.py,python,data build/materialization CLI with reusable logic,yes,tests/test_build_lateral_smoothed_label_split.py,parquet,parquet;JSON/text;copied assets,tests/test_build_lateral_smoothed_label_split.py,mixed/experiment-specific,SPLIT,src/system_identification/labels/lateral_variants.py,0C4,old script remains compatibility wrapper,HIGH,read during Phase 0A; additional compatibility target: scripts/data/build_lateral_smoothed_label_split.py
scripts/build_level2_replay_ready_table.py,python,data build/materialization CLI with reusable logic,yes,scripts/evaluate_level2_translational_replay.py;tests/test_level2_replay.py,parquet,parquet,indirect/partial,mixed/experiment-specific,SPLIT,src/system_identification/data/build_level2_replay_ready_table.py,0C3,old script remains compatibility wrapper,HIGH,read during Phase 0A; additional compatibility target: scripts/data/build_level2_replay_ready_table.py
scripts/build_log_split.py,python,data build/materialization CLI with reusable logic,yes,,,,none identified,mixed/experiment-specific,WRAP,scripts/data/build_log_split.py,0C9,preserve old command wrapper during one release,MEDIUM,read during Phase 0A
scripts/build_smoothed_label_split.py,python,data build/materialization CLI with reusable logic,yes,tests/test_pipeline.py,parquet,parquet;JSON/text;copied assets,indirect/partial,mixed/experiment-specific,SPLIT,src/system_identification/labels/smoothed_variants.py,0C4,old script remains compatibility wrapper,HIGH,read during Phase 0A; additional compatibility target: scripts/data/build_smoothed_label_split.py
scripts/build_time_aligned_smoothed_label_split.py,python,data build/materialization CLI with reusable logic,yes,tests/test_wrench_label_input_filtering.py;tests/test_wrench_label_lag_sweep.py,parquet;text,parquet;csv;JSON/text;copied assets,indirect/partial,mixed/experiment-specific,SPLIT,src/system_identification/labels/time_aligned_variants.py,0C4,old script remains compatibility wrapper,HIGH,read during Phase 0A; additional compatibility target: scripts/data/build_time_aligned_smoothed_label_split.py
